"","Tokyo","Delhi","Shanghai","Sao Paulo","Mexico City","Cairo","Mumbai","Beijing","Dhaka","Osaka","New York City","Karachi","Buenos Aires","Chongqing","Istanbul","Kolkata","Manila","Lagos","Rio de Janeiro","Tianjin","Kinshasa","Guangzhou","Los Angeles","Moscow","Shenzhen","Lahore","Bangalore","Paris","Bogota","Jakarta","Chennai","Lima","Bangkok","Seoul","Nagoya","Hyderabad","London","Tehran","Chicago","Chengdu","Nanjing","Wuhan","Ho Chi Minh City","Luanda","Ahmedabad","Kuala Lumpur","Xi'an","Hong Kong","Dongguan","Hangzhou","Foshan","Shenyang","Riyadh","Baghdad","Santiago","Surat","Madrid","Suzhou","Pune","Harbin","Houston","Dallas","Toronto","Dar es Salaam","Miami","Belo Horizonte","Singapore","Philadelphia","Atlanta","Fukuoka","Khartoum","Barcelona","Johannesburg","Saint Petersburg","Qingdao","Dalian","Washington D.C.","Yangon","Alexandria","Jinan","Guadalajara"
"Toronto",10369.74593,12181.70175,11444.41551,5907.161138,3263.457191,9228.040756,12504.79011,10612.08264,12473.67315,10638.73012,555.185894,11678.95947,8922.297192,11874.83021,8212.436316,12563.42524,13231.33496,8937.573721,8232.77791,10689.03344,10718.04575,12500.08084,3502.562215,7507.580685,12549.82659,11260.36812,13316.35164,6016.467221,4356.387967,15800.05517,13396.43512,6171.29509,13633.88826,10628.29013,10537.76048,12871.38487,5730.75199,9911.40798,705.24048,11769.19049,11422.15829,11671.84978,13949.42621,10892.71026,12087.73454,14818.57665,11338.33131,12574.50446,12500.13806,11582.9377,12513.40595,10270.02818,10659.79914,9753.966997,8581.327282,12286.28274,6053.444887,11460.15806,12598.7762,9774.687079,2091.37644,1940.203438,0,12819.15653,1985.268945,7912.710829,15008.94763,536.137211,1180.200807,10936.86758,10501.29352,6418.083827,13322.36981,6875.773613,10952.47728,10621.05584,562.119649,13295.02712,9049.913477,10959.64522,3380.948747
"Dar es Salaam",11398.07525,5741.173731,9667.90732,9645.311179,15330.03633,4169.58198,4668.70983,9409.895983,6499.586432,11009.94591,12458.18794,4642.960441,10289.06809,8230.455818,5399.729397,6263.465417,9320.73658,4246.474349,8987.535917,9453.335389,2669.312329,8695.397929,16214.41015,6934.803688,8746.19051,5649.328454,4770.227594,7139.047395,12656.07544,7459.464801,5029.959893,12682.75073,7155.025183,10270.71131,11141.09742,5071.271679,7473.829941,4874.024084,13523.73047,8041.777342,9431.251037,8982.156887,7715.405485,2880.084161,4902.120449,7022.498827,8601.827664,8762.843182,8740.303847,9523.759183,8675.793233,10029.34352,3577.202011,4476.777568,11412.11737,4798.762042,6831.338259,9587.855503,4718.630979,10342.94394,14648.0998,14657.09616,12819.15653,0,13292.7573,9056.065012,7225.37835,12572.49619,13528.41099,10532.15695,2582.721961,6542.009658,2453.290192,7439.601332,9660.223729,9823.29788,12752.00791,6782.55093,4323.668469,9376.842374,15722.85797
"Miami",12015.85464,14077.35586,13289.31735,4621.825817,2069.947369,10455.59968,14257.03229,12529.98001,14438.21257,12332.1838,1752.39006,13395.11325,7065.431597,13839.11604,9629.132119,14514.61224,14988.26292,9067.31094,6684.889124,12599.55941,10775.50837,14405.47681,3764.318623,9241.993764,14447.02572,13112.7763,15097.97177,7369.24251,2430.83717,17706.85212,15221.64722,4197.012743,15616.77021,12444.28445,12216.49645,14696.76216,7142.007166,11521.37242,1913.728061,13744.04499,13298.64536,13585.05848,15897.01857,10780.50023,13866.06834,16797.08577,13293.82284,14468.48204,14400.49733,13438.30453,14420.32829,12139.82363,12035.20568,11235.04214,6629.276578,14054.37893,7107.673564,13314.75142,14361.92793,11635.01787,1556.90054,1783.731836,1985.268945,13292.7573,0,6395.684476,16972.44444,1645.805594,975.629761,12687.94587,11429.332,7557.764514,12938.81592,8625.731896,12827.85096,12495.58188,1488.215896,15278.01631,10282.20345,12865.51643,2431.187271
"Belo Horizonte",18218.71399,14405.85164,18095.4853,2092.502712,7424.690746,9764.460725,13443.6014,17109.71227,15314.36063,18365.58782,7392.836817,13000.3268,2165.296237,16869.84678,10091.4616,15101.29422,18326.10788,5948.413136,337.57385,17221.50195,6642.176866,17651.06883,9870.980093,11302.31228,17720.98011,13783.58595,13774.43231,8890.930345,4268.621152,15714.48105,14048.03351,3638.33685,16210.97793,17867.42021,18313.36589,13976.43531,8990.551006,11748.26278,8186.583874,16609.47842,17835.94232,17547.29045,16725.03066,6260.692949,13495.90812,15864.73327,16917.4176,17745.92486,17699.49451,18055.71491,17634.17187,17305.68704,10982.32944,11057.57236,3034.230702,13484.02822,7876.500256,18026.5513,13529.92553,17013.162,7784.221389,8093.502133,7912.710829,9056.065012,6395.684476,0,15963.29495,7380.618372,7328.77872,18394.09351,9240.013137,8287.519597,7314.678682,11060.88185,17657.75909,17489.09154,7367.341403,15813.75919,9705.21366,17394.30436,7874.180198
"Singapore",5312.227843,3540.144062,3795.638175,16845.09053,16622.29579,8262.003988,3902.398569,4459.306923,2864.680715,4942.607988,15343.0566,4718.254387,15893.46041,3135.233435,8644.122821,2880.849567,2390.302518,11152.94891,15764.20283,4396.172758,9863.609979,2615.908673,14132.33479,8414.17149,2587.883248,4556.179442,3161.145874,10734.06317,19307.09202,886.80688,2904.881583,18818.77352,1428.285934,4658.424561,5074.223374,3301.278116,10849.1784,6599.822795,15079.43458,3242.465756,3742.422169,3415.470966,1085.676146,10104.58207,4139.414218,308.587944,3678.621926,2572.185835,2628.392922,3635.281839,2599.086954,4891.817814,6648.746088,7118.585117,16407.35933,4016.042026,11384.49033,3756.800742,3783.863844,5400.232948,16008.00722,15660.3697,15008.94763,7225.37835,16972.44444,15963.29495,0,15424.1267,16022.71304,4516.755591,7970.077118,10882.05281,8669.75424,8959.656064,4206.892727,4535.47232,15544.27196,1903.330493,8401.537811,4136.373727,16188.73745
"Philadelphia",10895.37138,12438.11124,11933.18563,5371.081173,3236.89691,9167.057132,12675.55448,11075.33302,12796.11131,11158.73357,127.523963,11828.63055,8436.220185,12301.49259,8215.022636,12869.3244,13734.74253,8578.951398,7701.925477,11155.72301,10358.77321,12963.72668,3852.373214,7653.889803,13016.88112,11485.38298,13505.3052,5978.528176,3920.305412,16244.22599,13609.49265,5763.583645,14024.56836,11126.8724,11059.70539,13083.03994,5714.242857,10004.14475,1071.72758,12182.55046,11900.82428,12134.46712,14383.44241,10501.66627,12270.81072,15215.32581,11774.91197,13042.81386,12966.01349,12068.17364,12976.31055,10754.16127,10660.98065,9790.874765,8142.206034,12464.51772,5907.946736,11945.98831,12775.48538,10263.17799,2157.654267,2093.453448,536.137211,12572.49619,1645.805594,7380.618372,15424.1267,0,1074.138408,11447.84041,10354.416,6305.020215,12901.67525,7028.976327,11432.86173,11102.63396,198.981748,13653.089,8989.359717,11427.76653,3427.894543
"Atlanta",11053.3011,13357.26022,12314.49081,5476.91316,2162.906979,10238.68164,13680.21771,11568.10365,13619.19539,11363.91492,1201.660154,12848.0961,8039.239456,12900.27054,9287.500771,13719.01393,14016.83274,9416.252793,7625.984694,11635.35393,11178.60135,13437.42752,3115.393065,8672.395206,13477.21118,12440.44396,14495.26517,7052.666463,3401.205575,16733.00808,14576.62031,5130.10387,14703.61478,11468.71741,11249.84931,14051.58282,6787.522535,11053.61031,944.140061,12818.23091,12326.74898,12620.20237,14940.72234,11259.40357,13265.26987,15867.01635,12348.85734,13498.04945,13431.36816,12464.08992,13452.6098,11168.04629,11734.33848,10858.48335,7576.89394,13463.08008,6961.890889,12340.55046,13775.4638,10662.48657,1126.303243,1157.663523,1180.200807,13528.41099,975.629761,7328.77872,16022.71304,1074.138408,0,11714.54386,11397.11748,7368.763219,13559.48803,8042.415883,11856.22851,11524.13929,875.173622,14406.72099,10061.139,11899.70479,2364.411573
"Fukuoka",889.438324,4828.004947,876.811041,16427.7947,12145.66751,8986.475516,5886.085484,1432.048088,4032.583322,487.343774,11412.73859,6118.927034,19201.8131,2301.731575,8495.157078,4268.854936,2305.494776,12896.62165,18688.65001,1333.958507,12595.93423,2033.869418,9655.593298,7162.18299,2022.897421,5203.456883,5791.244495,9529.646641,15062.30259,5048.278574,5550.601462,16353.23891,3712.126941,536.93255,625.641692,5461.348702,9417.091335,7034.632153,10793.26039,2499.018804,1100.993119,1552.418954,3499.278154,13065.63963,5718.713276,4497.267162,1981.819785,2024.665932,2001.960306,1035.135637,2054.266662,1100.325387,7984.707957,7728.679815,18076.50719,5784.999785,10556.70618,952.935808,5825.666938,1389.971599,11506.57676,11165.36964,10936.86758,10532.15695,12687.94587,18394.09351,4516.755591,11447.84041,11714.54386,0,9776.718038,10164.76905,12657.82655,7364.565914,958.668669,987.914406,11498.08272,3892.511999,9018.665373,1267.375233,11740.02275
"Khartoum",10502.24229,5175.838061,9034.322439,8989.096423,13474.53491,1612.355588,4297.325885,8403.277772,6098.426265,10182.86897,10230.74546,3760.946633,11067.70851,7651.051328,2843.194623,5901.194717,9427.860121,3334.736444,9308.196922,8482.519193,2904.213309,8425.696631,13708.2101,4480.886178,8502.367917,4587.031156,4863.859727,4602.929213,11650.50039,8522.179491,5140.912022,12441.50962,7304.967602,9358.536279,10286.51,4890.260473,4929.837186,2917.168261,11187.97858,7401.423139,8764.37002,8378.886459,8017.850099,3435.721603,4275.306162,7689.477678,7821.527871,8531.164686,8474.340514,8934.559036,8410.296775,8947.17963,1793.495935,2304.612153,12156.9296,4291.414705,4451.354222,8952.799779,4400.845513,9098.147882,12510.58188,12428.90939,10501.29352,2582.721961,11429.332,9240.013137,7970.077118,10354.416,11397.11748,9776.718038,0,4089.004276,4639.944442,4927.358288,8818.885023,8861.930453,10548.21367,6774.496856,1754.537164,8510.193702,13753.34491
"Barcelona",10438.84132,7366.58288,9844.048371,6881.877903,9508.783893,2898.111487,7039.713072,8822.849969,8168.023379,10329.78317,6178.993027,6186.425528,10447.74981,8975.613445,2238.331516,8084.177329,11196.81477,3873.405271,8539.614738,8935.075918,5236.350293,9955.896987,9674.263277,3015.37301,10046.38629,6374.883667,7858.679887,829.035327,8525.977245,11675.25789,8071.212314,10004.22545,9693.541421,9628.225651,10356.98955,7612.782352,1136.9193,4282.713902,7100.313714,8717.293444,9607.311802,9438.951217,10410.00747,5676.622326,6754.810143,10573.61617,8790.497007,10083.78955,9995.46832,9842.972928,9950.940659,9067.463379,4495.513195,3807.365786,11136.04161,6895.073794,502.618357,9785.666803,7157.890748,8894.172147,8459.595169,8353.59673,6418.083827,6542.009658,7557.764514,8287.519597,10882.05281,6305.020215,7368.763219,10164.76905,4089.004276,0,7938.637542,2823.795048,9372.313043,9208.608944,6502.245152,9118.17474,2724.438935,9121.595632,9731.890227
